time;hr
1508730420;54
1508730540;86
1508730660;52
1508730780;64
1508730900;58
1508731020;52
1508731140;67
1508731260;65
1508731380;63
1508731500;64
1508731620;51
1508731740;62
1508731860;54
1508731980;54
1508732100;64
1508732220;62
1508732340;58
1508732460;62
1508732700;62
1508732820;57
1508732940;59
1508733060;53
1508733300;77
1508733420;53
1508733540;51
1508733660;57
1508733780;51
1508733900;54
1508734020;46
1508734140;54
1508734260;53
1508734380;51
1508734500;57
1508734620;56
1508734740;75
1508734860;73
1508734980;56
1508735100;58
1508735340;62
1508735460;64
1508735580;52
1508735700;64
1508735820;48
1508736060;61
1508736180;77
1508736420;83
1508736540;89
1508736660;53
1508736780;49
1508736900;49
1508737020;44
1508737140;66
1508737260;55
1508737380;59
1508737500;58
1508737860;59
1508737980;68
1508738220;53
1508738340;64
1508738460;52
1508738580;57
1508738700;62
1508738820;58
1508739180;61
1508739300;89
1508739420;69
1508739540;67
1508739660;49
1508739900;69
1508740140;61
1508740260;54
1508740380;65
1508740500;56
1508740620;61
1508740740;65
1508740860;58
1508740980;54
1508741100;56
1508741220;52
1508741340;57
1508741460;55
1508741580;56
1508741700;55
1508741820;51
1508741940;52
1508742060;58
1508742180;54
1508742420;56
1508742540;49
1508742660;56
1508742780;62
1508742900;92
1508743020;78
1508743140;72
1508743260;77
1508781000;76
1508807160;62
1508807280;63
1508807400;64
1508807520;54
1508807640;72
1508807760;49
1508807880;54
1508808000;61
1508808120;64
1508808360;62
1508808480;65
1508808600;65
1508808720;56
1508808840;56
1508809080;46
1508809200;53
1508809320;52
1508809560;52
1508809680;47
1508810040;61
1508810160;47
1508810280;53
1508810400;46
1508810520;47
1508810640;55
1508810760;58
1508810880;52
1508811000;54
1508811120;63
1508811240;96
1508811360;46
1508811480;77
1508811600;55
1508811720;77
1508811840;68
1508811960;79
1508812080;55
1508812200;57
1508812560;53
1508812800;56
1508812920;56
1508813040;57
1508813160;56
1508813280;58
1508813400;48
1508813520;56
1508813640;49
1508813880;52
1508814000;52
1508814120;51
1508814240;52
1508814360;52
1508814480;46
1508814600;52
1508814720;56
1508814840;54
1508814960;54
1508815080;68
1508815200;52
1508815320;54
1508815440;46
1508815560;68
1508815680;71
1508815800;62
1508815920;73
1508816040;68
1508816160;92
1508816280;58
1508816400;61
1508816520;47
1508816640;49
1508816760;74
1508817000;75
1508817120;55
1508817240;64
1508817360;65
1508817480;86
1508817600;52
1508817720;56
1508817840;52
1508817960;55
1508818080;49
1508818200;54
1508818320;53
1508818440;64
1508818560;58
1508818680;44
1508818800;48
1508818920;51
1508819280;59
1508819400;51
1508819520;56
1508819640;59
1508819760;59
1508819880;58
1508820000;55
1508820120;54
1508820240;61
1508820480;54
1508820600;57
1508820720;59
1508820840;56
1508820960;57
1508821080;52
1508821200;53
1508821320;59
1508821440;55
1508821560;59
1508821680;68
1508821800;59
1508821920;71
1508822040;44
1508822160;53
1508822280;65
1508822400;56
1508822520;51
1508822880;46
